"Model name"," 1st Phone Model",""," 2nd Phone Model",""
"Model description"," binary logit with cost only",""," binary logit with log-cost only",""
"Number of individuals","196","","196",""
"Number of modelled outcomes","196","","196",""
"Estimated parameters","2","","2",""
"Estimation time ((hh:mm:ss)","00:00:0.17","","00:00:0.08",""
"Iterations","5","","5",""
"LL(final)","-116.87","","-116.83",""
"Adj.Rho-square (0)","0.125","","0.1253",""
"Adj.Rho-square (C)","0.0891","","0.0894",""
"AIC","237.74","","237.67",""
"BIC","244.3","","244.23",""
"","","","",""
"","estimate","Rob.t-ratio(0)","estimate","Rob.t-ratio(0)"
"asc_standard","0.6226","3.83","0.7609","4.51"
"b_cost","-0.5541","-4.65",NA,NA
"b_logcost",NA,NA,"-3.1223","-4.68"
